"word","freqency"
"عرب",79
"شعر",63
"ثور",58
"كتاب",45
"قصائد",37
"اسلام",31
"نقد",31
"فكر",25
"جديد",24
"ثقاف",22
"حرك",22
"حداث",21
"ثلاث",20
"نص",20
"فن",19
"زمن",16
"شهاد",16
"ادب",15
"عالم",15
"قصيدت",15
"مسرح",15
"معاصر",15
"لغ",14
"مرا",14
"فلسطين",13
"نظر",13
"دين",12
"فلسف",12
"قصيد",12
"كيف",12
"مجتمع",12
"اخر",11
"انس",11
"تعدد",11
"ليل",11
"مقاوم",11
"ملاحظ",11
"موت",11
"نصوص",11
"نفس",11
"ثائق",10
"حيا",10
"خواطر",10
"دراس",10
"روا",10
"قضايا",10
"وطن",10
"اتجاه",9
"اشكال",9
"تاريخ",9
"تحليل",9
"حوار",9
"كتب",9
"لبن",9
"لبنان",9
"واقع",9
"حديث",8
"حضار",8
"سياس",8
"شمس",8
"طريق",8
"عصر",8
"عنف",8
"كلم",8
"ابداع",7
"اسئل",7
"ال",7
"بحث",7
"بحر",7
"تجرب",7
"تراث",7
"ثان",7
"جسد",7
"حر",7
"خمس",7
"راهن",7
"شرق",7
"عشر",7
"عمل",7
"مستقبل",7
"معنى",7
"مفهوم",7
"مقابس",7
"هل",7
"ابعاد",6
"اخير",6
"جنس",6
"رماد",6
"سلط",6
"ضو",6
"عبود",6
"قبر",6
"قتل",6
"قرا",6
"قصص",6
"كلام",6
"لقا",6
"ماركس",6
"مدخل",6
"مسال",6
"مصر",6
"مقدم",6
"وضع",6
"يسار",6
"يوليو",6
"اجتماع",5
"اربع",5
"ازم",5
"اغان",5
"اميرك",5
"تحول",5
"تصوف",5
"تقدم",5
"حرب",5
"حلم",5
"خطاب",5
"دفتر",5
"ذاكر",5
"رامبو",5
"رسال",5
"رغب",5
"روائ",5
"شخص",5
"صايغ",5
"صور",5
"عين",5
"فرنس",5
"قوم",5
"محاول",5
"مدين",5
"نظام",5
"نور",5
"اب",4
"احوال",4
"ادونيس",4
"ارض",4
"اسطور",4
"اسم",4
"اصو",4
"الف",4
"ايديولوج",4
"ايقاع",4
"بحثا",4
"بد",4
"بدا",4
"بديل",4
"بلا",4
"تحرر",4
"تساؤل",4
"تشكيل",4
"جماهير",4
"جمر",4
"حجر",4
"حديق",4
"حن",4
"دور",4
"سبع",4
"سما",4
"سوسيولوج",4
"شعب",4
"شكل",4
"صغير",4
"طفول",4
"غرب",4
"فصل",4
"فضا",4
"قارئ",4
"قر",4
"قض",4
"قلب",4
"لحظ",4
"مذكر",4
"مشاهد",4
"معرف",4
"مقدس",4
"ممارس",4
"منطق",4
"منهج",4
"نها",4
"وحد",4
"وع",4
"ابد",3
"ابو",3
"اخرى",3
"اساس",3
"اسماعيل",3
"اطفال",3
"باب",3
"بشر",3
"بورجواز",3
"بي",3
"تاسيس",3
"تامل",3
"تجاوز",3
"تحد",3
"ترب",3
"تشر",3
"تشريع",3
"تناقض",3
"توفيق",3
"جدل",3
"جماع",3
"جمهور",3
"جن",3
"جو",3
"جيل",3
"حب",3
"حرف",3
"حقيق",3
"خط",3
"خطا",3
"خلق",3
"دائر",3
"دم",3
"دول",3
"رؤ",3
"رؤيا",3
"را",3
"رجل",3
"رد",3
"رسوم",3
"رمز",3
"سائد",3
"ست",3
"سينما",3
"شفاه",3
"شفيق",3
"شهو",3
"صحرا",3
"صديق",3
"طائر",3
"طبيع",3
"طقس",3
"عامل",3
"عقل",3
"علاق",3
"علم",3
"غاب",3
"فدائ",3
"فشل",3
"فلسط",3
"قديم",3
"قوس",3
"ل",3
"لغو",3
"لوح",3
"لون",3
"مؤسس",3
"متحد",3
"محفوظ",3
"مختار",3
"مشكل",3
"مغرب",3
"ملكوت",3
"منفى",3
"مواقف",3
"موسيقى",3
"نار",3
"نجيب",3
"نسائ",3
"نهر",3
"هزيم",3
"هكذا",3
"وج",3
"ورد",3
"وقت",3
"يرا",3
"يك",3
"يمكن",3
"ابدا",2
"ابن",2
"اتصال",2
"اتهام",2
"اجساد",2
"اجوب",2
"احدى",2
"احلام",2
"اخلاق",2
"ادم",2
"ارتباط",2
"اردن",2
"اساطير",2
"اسبان",2
"اسرائيل",2
"اشار",2
"اشتراك",2
"اشكالي",2
"اشواق",2
"اصدقا",2
"اطراف",2
"اعراس",2
"اعشاب",2
"اغتراب",2
"اغن",2
"افاق",2
"اكتب",2
"السن",2
"انتفاض",2
"انتما",2
"انثو",2
"اندلس",2
"انكليز",2
"اوروب",2
"اوق",2
"اياك",2
"اين",2
"بئر",2
"بثور",2
"بنيو",2
"بياض",2
"بيرس",2
"بيروت",2
"تجديد",2
"تجريد",2
"تجلي",2
"تربو",2
"تسع",2
"تطبيق",2
"تغيير",2
"تفاح",2
"تفسير",2
"تقليد",2
"تك",2
"تمثيل",2
"تنته",2
"تنوع",2
"ثمان",2
"ثوابت",2
"جبل",2
"جبه",2
"جحيم",2
"جزائر",2
"جنائن",2
"جون",2
"جوهر",2
"حاج",2
"حاضر",2
"حافزا",2
"حال",2
"حان",2
"حزب",2
"حزير",2
"حفل",2
"حقوق",2
"حكم",2
"حل",2
"حنجر",2
"حي",2
"خ",2
"خائن",2
"خبر",2
"خرائط",2
"خصوص",2
"خليق",2
"خليل",2
"دائم",2
"داخل",2
"دروس",2
"دمشق",2
"ديان",2
"ديمقراط",2
"رحل",2
"رسائل",2
"رسم",2
"رعد",2
"رغيف",2
"رفض",2
"ركود",2
"روح",2
"زجاج",2
"زيار",2
"سؤال",2
"سان",2
"سعيد",2
"سلم",2
"سمير",2
"سندباد",2
"سهم",2
"سود",2
"سياق",2
"سيد",2
"شاعر",2
"شب",2
"شجر",2
"شعرا",2
"شفاف",2
"صاحب",2
"صادق",2
"صحو",2
"صدى",2
"صرخ",2
"صفر",2
"صوب",2
"صوت",2
"طائف",2
"طفل",2
"طلاب",2
"طليع",2
"ظلال",2
"ظلام",2
"عائد",2
"عام",2
"عبر",2
"عدد",2
"عدم",2
"عذاب",2
"عرض",2
"عزاو",2
"عصفور",2
"عظم",2
"عفو",2
"عكش",2
"عهد",2
"غجر",2
"غنائ",2
"فاعل",2
"فجر",2
"فراغ",2
"فرويد",2
"فعل",2
"فهود",2
"فوكو",2
"قدر",2
"قطار",2
"قلق",2
"قمر",2
"قناع",2
"قو",2
"قياد",2
"كاتب",2
"كارث",2
"كبن",2
"كمال",2
"كنيس",2
"كون",2
"لاهوت",2
"لبناني",2
"لغت",2
"لفهم",2
"لميلاد",2
"لهب",2
"ليس",2
"ماد",2
"مبدا",2
"متخيل",2
"متهم",2
"مثال",2
"مجل",2
"محدود",2
"مختبر",2
"مدن",2
"مر",2
"مرايا",2
"مرث",2
"مركب",2
"مركز",2
"مرو",2
"مساف",2
"مسيح",2
"مضم",2
"مطر",2
"مفرد",2
"مقارن",2
"مقال",2
"مقالت",2
"مقام",2
"مك",2
"ملوك",2
"منير",2
"مهم",2
"مهيار",2
"موج",2
"ميا",2
"ميت",2
"ميثولوجيا",2
"ميشيل",2
"نب",2
"نجوم",2
"نحاس",2
"نزع",2
"نسا",2
"نصا",2
"نعم",2
"نفهم",2
"نقاط",2
"نموذج",2
"نهض",2
"نوم",2
"نيويورك",2
"هد",2
"هذي",2
"هندس",2
"هوا",2
"وحش",2
"وشم",2
"وصل",2
"ولاي",2
"ومض",2
"ياسم",2
"يقول",2
"يمن",2
"ابابيل",1
"اباد",1
"ابتعد",1
"ابتهال",1
"ابجد",1
"ابستمولوجيا",1
"ابنا",1
"ابواب",1
"ات",1
"اتحاد",1
